"298771","2020-01-27 12:57:08","https://pastebin.com/raw/3EMXSrpK","online","malware_download","None","https://urlhaus.abuse.ch/url/298771/","JayTHL"
"298770","2020-01-27 12:54:09","https://ea777.net/163/wcePa/","online","malware_download","doc,emotet,epoch3,heodo","https://urlhaus.abuse.ch/url/298770/","Cryptolaemus1"
"298769","2020-01-27 12:46:37","http://www.loginbolasbobet.io/k34sp/QTNsUb/","online","malware_download","doc,emotet,epoch3,heodo","https://urlhaus.abuse.ch/url/298769/","Cryptolaemus1"
"298768","2020-01-27 12:46:04","http://78.128.114.115/POs.exe","online","malware_download","None","https://urlhaus.abuse.ch/url/298768/","vxvault"
"298767","2020-01-27 12:36:10","http://fawordpress.ir/wp-admin/LKaQC/","online","malware_download","doc,emotet,epoch3,heodo","https://urlhaus.abuse.ch/url/298767/","Cryptolaemus1"
"298766","2020-01-27 12:18:34","http://sol.ansaluniversity.edu.in/wp-content/OPRSdhfo/","online","malware_download","doc,emotet,epoch3,heodo","https://urlhaus.abuse.ch/url/298766/","spamhaus"
"298765","2020-01-27 12:08:10","http://suntour.com.vn/wp-content/6lp-gopib-14184/","online","malware_download","doc,emotet,epoch3,heodo","https://urlhaus.abuse.ch/url/298765/","Cryptolaemus1"
"298764","2020-01-27 12:07:38","http://114.216.205.145:50371/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298764/","Gandylyan1"
"298763","2020-01-27 12:07:34","http://42.115.52.139:43074/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298763/","Gandylyan1"
"298762","2020-01-27 12:07:30","http://211.137.225.70:43411/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298762/","Gandylyan1"
"298761","2020-01-27 12:06:53","http://124.67.89.50:58367/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298761/","Gandylyan1"
"298760","2020-01-27 12:06:50","http://172.39.73.19:34433/Mozi.m","offline","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298760/","Gandylyan1"
"298759","2020-01-27 12:06:18","http://176.113.161.125:52455/Mozi.m","online","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298759/","Gandylyan1"
"298758","2020-01-27 12:06:16","http://123.10.178.175:39443/Mozi.m","offline","malware_download","elf,Mozi","https://urlhaus.abuse.ch/url/298758/","Gandylyan1"
